round,niche,temp,moist_level,sample_no,dry_mass,actual_moist_perc,flux_nmol_C2H4_g_hr,flux_gN_g_h
1,Wood,25,150,13,3.64,221.70,0.154,7.20654E-10
1,Wood,25,150,14,2.85,187.37,-0.026,-1.19266E-10
1,Wood,25,150,15,3.14,141.08,0.423,1.97613E-09
1,Wood,25,150,16,1.41,18.44,-0.130,-6.08309E-10
1,Wood,25,150,17,2.51,204.38,0.706,3.29572E-09
1,Lichen,35,25,19,0.933,131.08,1.573,7.34613E-09
1,Lichen,35,25,20,1.95,40.26,-0.059,-2.77169E-10
1,Lichen,35,25,21,4.376,34.16,-0.014,-6.73965E-11
1,Lichen,35,25,22,2.561,44.87,0.024,1.11344E-10
1,Lichen,35,25,23,1.047,42.79,-0.130,-6.0757E-10
1,Lichen,35,50,19,1.89,51.22,-0.060,-2.79231E-10
1,Lichen,35,50,20,-1.11,-322.52,-10.644,-4.96962E-08
1,Lichen,35,50,21,10.272,34.11,0.016,7.67652E-11
1,Lichen,35,50,22,3.465,75.73,3.671,1.71401E-08
1,Lichen,35,50,23,1.007,217.68,2.594,1.21135E-08
1,Lichen,35,100,19,0.479,108.77,-0.231,-1.07943E-09
1,Lichen,35,100,20,0.268,140.67,-1.022,-4.77362E-09
1,Lichen,35,100,21,1.151,40.75,21.274,9.93266E-08
1,Lichen,35,100,22,2.514,37.39,-0.068,-3.17242E-10
1,Lichen,35,100,23,0.618,93.04,-0.077,-3.57611E-10
1,Lichen,35,150,19,2.188,59.69,-0.068,-3.18811E-10
1,Lichen,35,150,20,3.458,74.00,-0.051,-2.39141E-10
1,Lichen,35,150,21,0.3,396.33,-0.356,-1.66345E-09
1,Lichen,35,150,22,2.531,81.98,-0.072,-3.33952E-10
1,Lichen,35,150,23,0.6,127.50,-0.432,-2.01492E-09
1,Litter,35,25,19,2.075,44.82,0.065,3.03982E-10
1,Litter,35,25,20,1.643,125.99,-0.139,-6.49238E-10
1,Litter,35,25,21,2.07,43.48,0.054,2.52276E-10
1,Litter,35,25,22,2.42,68.18,-0.148,-6.88878E-10
1,Litter,35,25,23,2.12,104.91,0.233,1.08661E-09
1,Litter,35,50,19,1.9,196.84,0.283,1.32281E-09
1,Litter,35,50,20,2.18,15.73,-0.180,-8.38442E-10
1,Litter,35,50,21,1.146,15.71,-0.452,-2.11138E-09
1,Litter,35,50,22,2.112,84.33,-0.107,-4.98429E-10
1,Litter,35,50,23,1.93,53.63,-0.280,-1.30627E-09
1,Litter,35,100,19,2.677,62.94,0.104,4.83263E-10
1,Litter,35,100,20,1.835,75.75,0.046,2.15699E-10
1,Litter,35,100,21,1.74,12.59,-0.266,-1.23975E-09
1,Litter,35,100,22,2.31,65.28,0.035,1.61845E-10
1,Litter,35,100,23,1.92,38.65,0.014,6.74705E-11
1,Litter,35,150,19,2.292,37.52,0.264,1.23285E-09
1,Litter,35,150,20,1.722,131.36,0.234,1.09149E-09
1,Litter,35,150,21,1.75,46.11,0.424,1.98087E-09
1,Litter,35,150,22,2.132,18.01,-0.015,-6.93474E-11
1,Litter,35,150,23,1.92,125.31,-0.065,-3.04216E-10
1,Moss,35,25,19,1.56,67.95,-0.026,-1.22808E-10
1,Moss,35,25,20,2.97,67.34,1.008,4.70531E-09
1,Moss,35,25,21,4.3,63.95,0.020,9.29524E-11
1,Moss,35,25,22,3.11,25.72,0.007,3.39129E-11
1,Moss,35,25,23,3.53,25.21,-0.046,-2.15552E-10
1,Moss,35,50,19,5.06,48.81,-0.051,-2.36697E-10
1,Moss,35,50,20,1.37,190.51,-0.014,-6.70733E-11
1,Moss,35,50,21,4.03,24.57,-0.029,-1.36627E-10
1,Moss,35,50,22,4.05,55.56,0.295,1.37953E-09
1,Moss,35,50,23,2.68,42.16,-0.071,-3.3336E-10
1,Moss,35,100,19,6.43,20.06,-0.027,-1.27119E-10
1,Moss,35,100,20,5.47,44.61,-0.024,-1.12196E-10
1,Moss,35,100,21,4.93,36.71,0.088,4.10514E-10
1,Moss,35,100,22,0.69,28.99,-0.213,-9.93084E-10
1,Moss,35,100,23,4.99,36.87,-0.002,-1.02524E-11
1,Moss,35,150,19,0.84,163.10,-0.061,-2.86853E-10
1,Moss,35,150,20,0.51,284.31,-0.076,-3.57127E-10
1,Moss,35,150,21,0.72,172.22,0.716,3.34191E-09
1,Moss,35,150,22,2.86,66.78,-0.057,-2.64255E-10
1,Moss,35,150,23,4.44,39.19,0.077,3.57968E-10
1,Soil,35,25,19,9.43,23.54,-0.013,-5.96667E-11
1,Soil,35,25,20,15.36,28.45,-0.006,-2.92763E-11
1,Soil,35,25,21,12.6,56.75,-0.021,-9.99028E-11
1,Soil,35,25,22,11.05,33.03,-0.018,-8.59289E-11
1,Soil,35,25,23,10.23,45.55,0.008,3.87736E-11
1,Soil,35,50,19,16.67,19.74,-0.009,-4.10724E-11
1,Soil,35,50,20,7.55,22.65,-0.025,-1.15534E-10
1,Soil,35,50,21,11.25,37.42,-0.006,-2.80777E-11
1,Soil,35,50,22,12.73,22.94,-0.007,-3.3715E-11
1,Soil,35,50,23,11.76,28.91,-0.019,-8.69805E-11
1,Soil,35,100,19,14.26,20.41,-0.009,-4.08675E-11
1,Soil,35,100,20,10.73,46.69,0.002,9.82028E-12
1,Soil,35,100,21,15.77,25.43,-0.011,-5.01157E-11
1,Soil,35,100,22,8.75,54.86,0.000,1.48317E-12
1,Soil,35,100,23,14.8,20.00,-0.011,-5.03185E-11
1,Soil,35,150,19,6.72,62.95,-0.033,-1.53048E-10
1,Soil,35,150,20,12.11,18.74,-0.003,-1.36287E-11
1,Soil,35,150,21,11.49,24.89,-0.015,-7.16552E-11
1,Soil,35,150,22,18.5,24.16,-0.004,-1.81087E-11
1,Soil,35,150,23,4.74,60.34,-0.004,-1.70538E-11
1,Wood,35,25,19,1.92,218.75,0.045,2.09014E-10
1,Wood,35,25,20,1.83,151.37,-0.108,-5.02379E-10
1,Wood,35,25,21,2.01,167.66,0.465,2.1714E-09
1,Wood,35,25,22,2.54,164.17,1.522,7.10823E-09
1,Wood,35,25,23,3.66,119.40,-0.034,-1.59863E-10
1,Wood,35,50,19,3.33,139.34,1.937,9.04221E-09
1,Wood,35,50,20,2.67,203.37,0.430,2.00558E-09
1,Wood,35,50,21,2.18,23.85,-0.095,-4.45561E-10
1,Wood,35,50,22,3.82,90.58,0.386,1.80276E-09
1,Wood,35,50,23,3.21,109.66,1.292,6.03298E-09
1,Wood,35,100,19,3.62,27.07,-0.026,-1.22726E-10
1,Wood,35,100,20,2.04,174.02,0.262,1.22494E-09
1,Wood,35,100,21,1.97,59.39,0.321,1.49993E-09
1,Wood,35,100,22,2.53,148.62,0.950,4.43597E-09
1,Wood,35,100,23,2.71,149.45,0.029,1.34796E-10
1,Wood,35,150,19,3.09,124.27,-0.165,-7.70812E-10
1,Wood,35,150,20,2.32,180.17,0.151,7.03339E-10
1,Wood,35,150,21,3.31,81.27,-0.077,-3.59348E-10
1,Wood,35,150,22,3.52,94.32,0.434,2.02814E-09
1,Wood,35,150,23,2.9,104.48,0.998,4.66147E-09
2,Litter,5,25,1,1.52,47.37,-0.113,-5.27496E-10
2,Litter,5,25,2,1.71,57.89,-0.089,-4.16683E-10
2,Litter,5,25,3,1.52,50.66,-0.122,-5.69028E-10
2,Litter,5,25,4,1.54,47.40,-0.082,-3.84188E-10
2,Litter,5,25,5,1.47,44.90,-0.120,-5.59193E-10
2,Litter,5,25,6,1.52,57.89,-0.125,-5.85491E-10
2,Litter,5,25,7,1.08,50.00,-0.043,-2.01666E-10
