sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Wood,100,15,11,1.06,7.58,4.22,3.16,106.3291139,
Lichen,150,5,4,1.06,6.81,3.83,2.77,107.5812274,
Wood,25,5,5,1.08,4.02,2.49,1.41,108.5106383,
Lichen,35,100,19,1.111,2.111,1.59,0.479,108.7682672,
Moss,100,25,14,1.15,5.77,3.36,2.21,109.0497738,
Wood,50,35,23,1.07,7.8,4.28,3.21,109.6573209,
Wood,100,15,7,1.08,4.15,2.51,1.43,114.6853147,
Wood,100,15,8,1.07,6.53,3.61,2.54,114.9606299,
Litter,100,15,7,1.09,4.84,2.82,1.73,116.7630058,
Litter,25,150,14,1.09,5.67,3.19,2.1,118.0952381,
Lichen,25,50,17,1.07,5.39,3.05,1.98,118.1818182,
Wood,150,5,1,1.04,7.13,3.83,2.79,118.2795699,
Wood,25,35,23,1.08,9.11,4.74,3.66,119.3989071,
Lichen,25,150,13,1.08,5.47,3.07,1.99,120.6030151,
Wood,25,15,12,1.08,6.69,3.61,2.53,121.7391304,
Lichen,25,150,15,1.09,4.87,2.78,1.69,123.6686391,
Litter,25,100,18,1.105,4.81,2.76,1.655,123.8670695,
Wood,100,15,10,1.08,6.48,3.49,2.41,124.06639,
Wood,150,35,19,1.07,8,4.16,3.09,124.2718447,
Wood,100,25,16,1.06,8.22,4.25,3.19,124.4514107,
Wood,25,5,4,1.05,6.67,3.55,2.5,124.8,
Wood,50,15,9,1.09,6.99,3.71,2.62,125.1908397,
Litter,35,150,23,1.1,5.426,3.02,1.92,125.3125,
Litter,35,25,20,1.107,4.82,2.75,1.643,125.9890444,
Lichen,150,15,10,1.09,4.12,2.43,1.34,126.119403,
Litter,25,15,9,1.12,4.8,2.74,1.62,127.1604938,
Lichen,35,150,23,1.11,2.475,1.71,0.6,127.5,
Litter,5,150,3,1.07,5.87,3.17,2.1,128.5714286,
Lichen,50,5,2,1.05,4.67,2.63,1.58,129.1139241,
Moss,25,15,8,1.11,4.8,2.72,1.61,129.1925466,
Lichen,25,100,14,1.1,5.27,2.91,1.81,130.3867403,
Moss,50,15,12,1.11,2.68,1.79,0.68,130.8823529,
Lichen,35,25,19,1.117,3.273,2.05,0.933,131.0825295,
Litter,35,150,20,1.088,5.072,2.81,1.722,131.358885,
Wood,50,15,11,1.07,4.43,2.52,1.45,131.7241379,
Litter,35,100,24,1.118,5.04,2.81,1.692,131.7966903,
Lichen,25,100,18,1.08,5.49,2.96,1.88,134.5744681,
Moss,25,15,12,1.11,3.46,2.11,1,135,
Wood,100,35,24,1.07,8.38,4.18,3.11,135.0482315,
Wood,150,35,24,1.05,8.34,4.14,3.09,135.9223301,
Moss,25,25,16,1.12,2.62,1.75,0.63,138.0952381,
Moss,100,25,16,1.13,6.91,3.55,2.42,138.8429752,
Litter,100,15,10,1.07,4.32,2.43,1.36,138.9705882,
Wood,50,35,19,1.05,9.02,4.38,3.33,139.3393393,
Lichen,100,5,6,1.07,1.86,1.4,0.33,139.3939394,
Wood,100,25,13,1.08,10.07,4.83,3.75,139.7333333,
Lichen,35,100,20,1.092,1.737,1.36,0.268,140.6716418,
Wood,150,25,15,1.07,8.64,4.21,3.14,141.0828025,
Litter,50,15,11,1.07,4.23,2.38,1.31,141.221374,
Moss,150,15,8,1.14,2.83,1.84,0.7,141.4285714,
Wood,50,35,24,1.08,8.18,4.01,2.93,142.3208191,
Moss,25,5,1,1.06,4.77,2.57,1.51,145.6953642,
Wood,100,35,22,1.05,7.34,3.58,2.53,148.6166008,
Wood,100,35,23,1.06,7.82,3.77,2.71,149.4464945,
Litter,25,50,15,1.1,5.21,2.74,1.64,150.6097561,
Wood,25,35,20,1.07,5.67,2.9,1.83,151.3661202,
Lichen,50,5,1,1.07,1.7,1.32,0.25,152,
Litter,50,15,9,1.05,4.46,2.4,1.35,152.5925926,
Litter,25,150,17,1.1,4.97,2.63,1.53,152.9411765,
Moss,150,25,13,1.05,8.4,3.95,2.9,153.4482759,
Moss,25,25,15,1.12,2.56,1.68,0.56,157.1428571,
Wood,50,25,15,1.07,5.37,2.74,1.67,157.4850299,
Moss,150,5,2,1.03,2.61,1.64,0.61,159.0163934,
Litter,150,15,9,1.09,5.15,2.64,1.55,161.9354839,
Moss,150,15,10,1.13,2.39,1.61,0.48,162.5,
Litter,150,15,10,1.06,6.71,3.21,2.15,162.7906977,
Moss,150,35,19,1.06,3.27,1.9,0.84,163.0952381,
Wood,50,5,6,1.07,9.49,4.27,3.2,163.125,
