,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
155,Soil,1,35,25,3.029908,-8.519904,9.15,32.34972678,24.25,NA
171,Soil,2,35,25,3.45234,-8.097472,8.95,31.95530726,24.25,NA
187,Soil,3,35,25,3.575972,-7.97384,8.99,32.70300334,24.25,NA
203,Soil,4,35,25,3.332276,-8.217536,9.13,30.55859803,24.25,NA
219,Soil,5,35,25,2.984596,-8.565216,9.08,30.39647577,24.25,NA
235,Soil,6,35,25,3.0665,-8.483312,9.24,30.41125541,24.25,NA
251,Soil,7,35,25,2.701308,-8.848504,9.33,30.54662379,24.25,NA
267,Soil,8,35,25,3.207716,-8.342096,8.82,22.44897959,24.25,NA
283,Soil,9,35,25,3.092404,-8.457408,9.26,30.99352052,24.25,NA
156,Soil,1,35,50,4.137908,-7.411904,8.95,58.54748603,24.25,NA
172,Soil,2,35,50,5.818748,-5.731064,9.04,57.8539823,24.25,NA
188,Soil,3,35,50,2.804204,-8.745608,9.22,55.09761388,24.25,NA
204,Soil,4,35,50,2.586324,-8.963488,9.241,58.11059409,24.25,NA
220,Soil,5,35,50,3.989636,-7.560176,9.25,55.35135135,24.25,NA
236,Soil,6,35,50,3.332972,-8.21684,9.21,53.9630836,24.25,NA
252,Soil,7,35,50,3.222788,-8.327024,9.24,54.32900433,24.25,NA
268,Soil,8,35,50,3.183388,-8.366424,9.6,47.08333333,24.25,NA
284,Soil,9,35,50,7.142124,-4.407688,9.13,55.96933187,24.25,NA
154,Soil,1,35,100,4.980332,-6.56948,9.09,111.2211221,24.25,NA
170,Soil,2,35,100,4.359948,-7.189864,9.03,107.4197121,24.25,NA
186,Soil,3,35,100,3.33362,-8.216192,9.11,111.1964874,24.25,NA
202,Soil,4,35,100,3.539084,-8.010728,9.43,105.8324496,24.25,NA
218,Soil,5,35,100,3.41438,-8.135432,9.44,104.7669492,24.25,NA
234,Soil,6,35,100,2.332324,-9.217488,9.43,105.4082715,24.25,NA
250,Soil,7,35,100,3.484092,-8.06572,9.52,100.9453782,24.25,NA
266,Soil,8,35,100,3.797964,-7.751848,9.17,108.7241003,24.25,NA
282,Soil,9,35,100,4.164724,-7.385088,9.39,105.1118211,24.25,NA
303,Wood,1,5,25,2.5387,-5.4642725,3.12,52.88461538,24,NA
319,Wood,2,5,25,2.445908,-5.5570645,2.56,89.84375,24,NA
335,Wood,3,5,25,2.481852,-5.5211205,2.88,67.01388889,24,NA
351,Wood,4,5,25,2.844132,-5.1588405,2.89,65.05190311,24,NA
367,Wood,5,5,25,2.565284,-5.4376885,1.56,193.5897436,24,NA
383,Wood,6,5,25,2.444596,-5.5583765,2.84,67.95774648,24,NA
399,Wood,7,5,25,3.908764,-4.0942085,1.84,183.1521739,24,NA
415,Wood,8,5,25,3.041044,-4.9619285,1.71,208.1871345,24,NA
431,Wood,9,5,25,8.128332,0.1253595,3.1,53.22580645,24,NA
304,Wood,1,5,50,2.351476,-5.6514965,1.96,189.7959184,24,NA
320,Wood,2,5,50,2.74134,-5.2616325,2.06,175.2427184,24,NA
336,Wood,3,5,50,2.32146,-5.6815125,2.6,192.3076923,24,< maybe a 5 gram one
352,Wood,4,5,50,2.825548,-5.1774245,2.15,166.5116279,24,NA
368,Wood,5,5,50,2.50786,-5.4951125,2.98,152.6845638,24,< maybe a 5 gram one
384,Wood,6,5,50,2.379476,-5.6234965,1.66,334.939759,24,< maybe a 5 gram one
400,Wood,7,5,50,2.576916,-5.4260565,2.42,210.3305785,24,NA
416,Wood,8,5,50,3.305172,-4.6978005,1.8,224.4444444,24,NA
432,Wood,9,5,50,4.357972,-3.6450005,2.74,174.8175182,24,NA
301,Wood,1,5,100,2.533092,-5.4698805,1.88,168.0851064,24,NA
317,Wood,2,5,100,2.6535,-5.3494725,1.48,400.6756757,24,NA
333,Wood,3,5,100,2.3253,-5.6776725,1.4,337.1428571,24,NA
349,Wood,4,5,100,2.69742,-5.3055525,2.38,237.394958,24,NA
365,Wood,5,5,100,2.484716,-5.5182565,3.07,84.36482085,24,NA
381,Wood,6,5,100,2.401108,-5.6018645,3,129.6666667,24,NA
397,Wood,7,5,100,3.633164,-4.3698085,2.49,216.064257,24,NA
413,Wood,8,5,100,7.314612,-0.6883605,1.74,319.5402299,24,NA
429,Wood,9,5,100,4.631012,-3.3719605,2.77,176.1732852,24,NA
302,Wood,1,5,150,2.402692,-5.6002805,2.46,281.7073171,24,NA
318,Wood,2,5,150,2.663884,-5.3390885,1.9,390,24,NA
334,Wood,3,5,150,2.4867,-5.5162725,1.79,418.9944134,24,NA
350,Wood,4,5,150,2.216772,-5.7862005,2.08,345.1923077,24,NA
366,Wood,5,5,150,2.52378,-5.4791925,1.4,260.7142857,24,"< some fell on the ground… fucking stopper was stuck, not 100% sample, probably ~85%"
382,Wood,6,5,150,2.746036,-5.2569365,2.9,230,24,NA
398,Wood,7,5,150,15.197356,7.1943835,3.18,100,24,NA
414,Wood,8,5,150,3.566932,-4.4360405,2.22,321.2612613,24,NA
430,Wood,9,5,150,2.593988,-5.4089845,2.84,236.2676056,24,NA
291,Wood,1,15,25,6.670086,1.80133725,3.91,45.52429668,24.25,NA
307,Wood,2,15,25,3.241239,-1.62750975,4.21,29.6912114,24.25,NA
323,Wood,3,15,25,8.534733,3.66598425,3.71,51.48247978,24.25,NA
339,Wood,4,15,25,4.403634,-0.46511475,4.2,32.61904762,24.25,NA
355,Wood,5,15,25,5.647578,0.77882925,0.88,535.2272727,24.25,NA
371,Wood,6,15,25,3.950259,-0.91848975,4.22,30.8056872,24.25,NA
387,Wood,7,15,25,3.1596,-1.70914875,2.15,159.0697674,24.25,NA
403,Wood,8,15,25,5.212869,0.34412025,3.32,67.1686747,24.25,NA
419,Wood,9,15,25,2.909256,-1.95949275,4.29,31.46853147,24.25,NA
292,Wood,1,15,50,5.056458,0.18770925,3.79,74.40633245,24.25,NA
308,Wood,2,15,50,5.661222,0.79247325,3.14,79.61783439,24.25,NA
324,Wood,3,15,50,4.519671,-0.34907775,3.96,69.19191919,24.25,NA
340,Wood,4,15,50,6.96651,2.09776125,2.35,181.7021277,24.25,NA
356,Wood,5,15,50,3.180903,-1.68784575,3.26,76.68711656,24.25,NA
372,Wood,6,15,50,6.546228,1.67747925,3.26,76.68711656,24.25,NA
388,Wood,7,15,50,5.066097,0.19734825,2.76,144.2028986,24.25,NA
404,Wood,8,15,50,7.41966,2.55091125,4.03,69.23076923,24.25,NA
420,Wood,9,15,50,6.960246,2.09149725,4.01,64.58852868,24.25,NA
289,Wood,1,15,100,7.562643,2.69389425,2.31,229.4372294,24.25,NA
305,Wood,2,15,100,4.712109,-0.15663975,1.59,353.4591195,24.25,NA
321,Wood,3,15,100,5.994465,1.12571625,3.01,153.820598,24.25,NA
337,Wood,4,15,100,8.184903,3.31615425,2.51,197.2111554,24.25,NA
353,Wood,5,15,100,4.495947,-0.37280175,2.24,226.3392857,24.25,NA
369,Wood,6,15,100,3.147333,-1.72141575,1.4,450.7142857,24.25,NA
385,Wood,7,15,100,4.073199,-0.79554975,2.99,158.5284281,24.25,NA
