,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
403,2022_09_08_REH_lim_exp2_109,Litter,7,35,0.25,25,84143.9,8.583412,A,6.220324,12.612708,12.570904,-10.207816,24.5
404,2022_09_08_REH_lim_exp2_110,Litter,8,35,0.25,25,105365.7,10.281156,A,6.220324,12.612708,12.570904,-8.510072,24.5
405,2022_09_08_REH_lim_exp2_111,Litter,9,35,0.25,25,48351,5.71998,A,6.220324,12.612708,12.570904,-13.071248,24.5
406,2022_09_08_REH_lim_exp2_113,Litter,1,35,0.5,50,147097,13.61966,A,6.220324,12.612708,12.570904,-5.171568,24.5
407,2022_09_08_REH_lim_exp2_114,Litter,2,35,0.5,50,135344.4,12.679452,A,6.220324,12.612708,12.570904,-6.111776,24.5
408,2022_09_08_REH_lim_exp2_115,Litter,3,35,0.5,50,143238.8,13.311004,A,6.220324,12.612708,12.570904,-5.480224,24.5
409,2022_09_08_REH_lim_exp2_116,Litter,4,35,0.5,50,149082.6,13.778508,A,6.220324,12.612708,12.570904,-5.01272,24.5
410,2022_09_08_REH_lim_exp2_117,Litter,5,35,0.5,50,38874.5,4.96186,A,6.220324,12.612708,12.570904,-13.829368,24.5
411,2022_09_08_REH_lim_exp2_118,Litter,6,35,0.5,50,57110.2,6.420716,A,6.220324,12.612708,12.570904,-12.370512,24.5
412,2022_09_08_REH_lim_exp2_119,Litter,7,35,0.5,50,285237,24.67086,A,6.220324,12.612708,12.570904,5.879632,24.5
413,2022_09_08_REH_lim_exp2_120,Litter,8,35,0.5,50,188622,16.94166,A,6.220324,12.612708,12.570904,-1.849568,24.5
414,2022_09_08_REH_lim_exp2_121,Litter,9,35,0.5,50,170960.2,15.528716,A,6.220324,12.612708,12.570904,-3.262512,24.5
415,2022_09_08_REH_lim_exp2_123,Litter,1,35,1,100,284392,24.60326,A,6.220324,12.612708,12.570904,5.812032,24.5
416,2022_09_08_REH_lim_exp2_124,Litter,2,35,1,100,308144.2,26.503436,A,6.220324,12.612708,12.570904,7.712208,24.5
417,2022_09_08_REH_lim_exp2_125,Litter,3,35,1,100,111135.6,10.742748,A,6.220324,12.612708,12.570904,-8.04848,24.5
418,2022_09_08_REH_lim_exp2_126,Litter,4,35,1,100,186572.8,16.777724,A,6.220324,12.612708,12.570904,-2.013504,24.5
419,2022_09_08_REH_lim_exp2_127,Litter,5,35,1,100,159810.1,14.636708,A,6.220324,12.612708,12.570904,-4.15452,24.5
420,2022_09_08_REH_lim_exp2_128,Litter,6,35,1,100,254044.1,22.175428,A,6.220324,12.612708,12.570904,3.3842,24.5
421,2022_09_08_REH_lim_exp2_129,Litter,7,35,1,100,306829.1,26.398228,A,6.220324,12.612708,12.570904,7.607,24.5
422,2022_09_08_REH_lim_exp2_130,Litter,8,35,1,100,139071.3,12.977604,A,6.220324,12.612708,12.570904,-5.813624,24.5
423,2022_09_08_REH_lim_exp2_131,Litter,9,35,1,100,203366.5,18.12122,A,6.220324,12.612708,12.570904,-0.670008,24.5
424,2022_09_08_REH_lim_exp2_133,Litter,1,35,1.5,150,315786.3,27.114804,A,6.220324,12.612708,12.570904,8.323576,24.5
425,2022_09_08_REH_lim_exp2_134,Litter,2,35,1.5,150,141128.3,13.142164,A,6.220324,12.612708,12.570904,-5.649064,24.5
