niche,temp,moist_level,sample_no,dry_mass,actual_moist,peak_area,ppm,ppm_corrected,hrs_incubation,flux_nmol_C2H4_g_hr,flux_mol_N_g_hr,flux_gram_N_g_hr,actual_moist_perc,group_mean,group_sd,moist_z,actual_moist_group
Lichen,25,25,13,2.67,0.299625468,2779407,223.69576,218.864784,23.5,7.569715921603719,2.523238640534573e-9,3.534224666637561e-8,29.962546800000002,55.209271145,27.067279053268535,-0.932739648315382,"[1.21,40.3]"
Lichen,25,25,14,2.16,0.819444444,21414573.9,1714.509112,1709.678136,23.5,73.09296202095506,2.4364320673651684e-8,3.4126373037963705e-7,81.94444440000001,55.209271145,27.067279053268535,0.9877303589468692,"(60.9,99.2]"
Lichen,25,25,15,1.38,0.601449275,232377.3,19.933384,15.102408,23.5,1.010606453788523,3.3686881792950774e-10,4.718420472093236e-9,60.1449275,55.209271145,27.067279053268535,0.1823477101369001,"(40.3,60.9]"
Lichen,25,25,16,2.71,0.413284133,46690.5,5.07844,0.247464,23.5,0.008432526072092755,2.8108420240309185e-12,3.9370620977993867e-11,41.3284133,55.209271145,27.067279053268535,-0.5128279727593751,"(40.3,60.9]"
Lichen,25,25,17,2.65,0.532075472,9327.5,2.0894,-2.741576,23.5,0,-3.184550321341215e-11,-4.4605040985930003e-10,53.20754720000001,55.209271145,27.067279053268535,-0.07395364495487679,"(40.3,60.9]"
Lichen,25,50,13,4.11,0.518248175,210454.3,18.179544,13.348568,23.5,0.2999216462763031,9.997388209210101e-11,1.4003041742994313e-9,51.824817499999995,54.50758062,108.67380000843337,-0.024686383652654225,"(40.3,60.9]"
Lichen,25,50,14,4.29,0.531468531,17963,2.78024,-2.050736,23.5,0,-1.4714522161827033e-11,-2.061018975640627e-10,53.1468531,54.50758062,108.67380000843337,-0.012521210447176793,"(40.3,60.9]"
Lichen,25,50,15,2.38,0.714285714,10010.9,2.144072,-2.686904,23.5,0,-3.475112695564759e-11,-4.867486099296691e-10,71.4285714,54.50758062,108.67380000843337,0.15570441798011003,"(60.9,99.2]"
Lichen,25,50,16,1.23,1.918699187,49981.1,5.341688,0.510712000000001,23.5,0.03834298378670648,1.2780994595568828e-11,1.790195570017539e-10,191.8699187,54.50758062,108.67380000843337,1.26398762230952,"(99.2,226]"
Lichen,25,50,17,1.98,1.181818182,9412.4,2.096192,-2.734784,23.5,0,-4.251591600003848e-11,-5.955076806377389e-10,118.1818182,54.50758062,108.67380000843337,0.5859207792039913,"(99.2,226]"
Lichen,25,100,13,1.11,0.630630631,25554.2,3.387536,-1.44344,23.5,0,-4.0028513049939243e-11,-5.606673737365841e-10,63.06306310000001,67.577514,52.88857007309739,-0.08535777945519334,"(60.9,99.2]"
Lichen,25,100,14,1.81,1.303867403,9834.6,2.129968,-2.701008,23.5,0,-4.5934711795513213e-11,-6.43393727706215e-10,130.38674029999999,67.577514,52.88857007309739,1.1875765635786946,"(99.2,226]"
Lichen,25,100,15,4.59,0.25708061,219407.7,18.895816,14.06484,23.5,0.2829678307289392,9.432261024297973e-11,1.3211485048903442e-9,25.708060999999997,67.577514,52.88857007309739,-0.7916540935429365,"[1.21,40.3]"
Lichen,25,100,16,2.37,0.628691983,56506.6,5.863728,1.032752,23.5,0.040240433778606456,1.341347792620215e-11,1.8787856126893564e-10,62.869198299999994,67.577514,52.88857007309739,-0.08902331247550517,"(60.9,99.2]"
Lichen,25,100,17,4.95,0.470707071,5685.3,1.798024,-3.032952,23.5,0,-1.8860536329618536e-11,-2.6417387420806796e-10,47.0707071,67.577514,52.88857007309739,-0.3877360811921649,"(40.3,60.9]"
Lichen,25,150,14,5.61,0.729055258,21788.6,3.086288,-1.744688,23.5,0,-9.573012212635676e-12,-1.3408631015872412e-10,72.9055258,113.042837835,77.04552767916405,-0.5209557678953324,"(60.9,99.2]"
Lichen,25,150,15,1.69,1.236686391,1634813.2,132.128256,21.725488,23.5,1.1871286620472699,3.9570955401575656e-10,5.542585010232498e-9,123.66863910000001,113.042837835,77.04552767916405,0.137915873705848,"(99.2,226]"
Lichen,25,150,15,1.69,1.236686391,315165.8,26.556464,127.29728,23.5,6.955804614775819,2.3186015382586062e-9,3.247595616592682e-8,123.66863910000001,113.042837835,77.04552767916405,0.137915873705848,"(99.2,226]"
Lichen,25,150,16,0.97,1.783505155,42696,4.7588800000000004,-0.0720959999999993,23.5,0,-2.2878794424242795e-12,-3.204564098620416e-11,178.3505155,113.042837835,77.04552767916405,0.8476504689143897,"(99.2,226]"
Lichen,25,150,17,1.36,0.860294118,117141.9,10.714552,5.883576,23.5,0.39950058013918854,1.331668600463962e-10,1.865228258611858e-9,86.0294118,113.042837835,77.04552767916405,-0.3506164062824041,"(60.9,99.2]"
Lichen,35,25,19,0.933,1.310825295,233552.8,20.027424,14.403738,23,1.4566276532282443,4.855425510760814e-10,6.800848850157349e-9,131.0825295,55.209271145,27.067279053268535,2.803135779022378,"(99.2,226]"
Lichen,35,25,20,1.95,0.402564103,23734,3.24192,-2.381766,23,0,-3.841476727442355e-11,-5.380641207826684e-10,40.2564103,55.209271145,27.067279053268535,-0.5524330988561023,"[1.21,40.3]"
Lichen,35,25,21,4.376,0.341636197,30701.6,3.799328,-1.824358,23,0,-1.3111925669747259e-11,-1.8365480927844893e-10,34.1636197,55.209271145,27.067279053268535,-0.7775311069717078,"[1.21,40.3]"
Lichen,35,25,22,2.561,0.44865287,47161.5,5.11612,-0.507566000000001,23,0,-6.233280497824004e-12,-8.730768994887148e-11,44.865286999999995,55.209271145,27.067279053268535,-0.3821582555321869,"(40.3,60.9]"
Lichen,35,25,23,1.047,0.427889207,21020,3.0248,-2.598886,23,0,-7.806821947799073e-11,-1.093478129762373e-9,42.7889207,55.209271145,27.067279053268535,-0.45886956057004086,"(40.3,60.9]"
Lichen,35,50,19,1.89,0.512169312,23349.3,3.211144,-2.412542,23,0,-4.014641826951697e-11,-5.623188367756433e-10,51.216931200000005,54.50758062,108.67380000843337,-0.030280062165348325,"(40.3,60.9]"
Lichen,35,50,21,10.272,0.341121495,60699.1,6.199128,0.575442,23,0.005285688035091109,1.7618960116970363e-12,2.467834886703688e-11,34.1121495,54.50758062,108.67380000843337,-0.18767569661148556,"[1.21,40.3]"
Lichen,35,50,22,3.465,0.757287157,1723545.5,139.22684,133.603154,23,3.6380482362207163,1.2126827454069056e-9,1.6985683410090904e-8,75.72871570000001,54.50758062,108.67380000843337,0.19527370054560708,"(60.9,99.2]"
Lichen,35,50,23,1.007,2.176762661,384453.4,32.099472,26.475786,23,2.4807007201901285,8.269002400633762e-10,1.1582143592495692e-8,217.67626610000002,54.50758062,108.67380000843337,1.5014537585631285,"(99.2,226]"
Lichen,35,100,19,0.479,1.087682672,39123.3,4.473064,-1.150622,23,0,-7.554937686053261e-11,-1.0581974568724222e-9,108.7682672,67.577514,52.88857007309739,0.7788214569437251,"(99.2,226]"
Lichen,35,100,20,0.268,1.406716418,17493.3,2.742664,-2.881022,23,0,-3.3810026183077654e-10,-4.735668937385138e-9,140.6716418,67.577514,52.88857007309739,1.3820401591303466,"(99.2,226]"
Lichen,35,100,21,1.151,0.407471764,3297798.8,265.167104,259.543418,23,21.275985087485118,7.0919950291617065e-9,9.933544677495928e-8,40.7471764,67.577514,52.88857007309739,-0.507299357175241,"(40.3,60.9]"
Lichen,35,100,22,2.514,0.373906126,31164,3.83632,-1.787366,23,0,-2.2360522394639733e-11,-3.1319712902500035e-10,37.3906126,67.577514,52.88857007309739,-0.5707641813397228,"[1.21,40.3]"
Lichen,35,100,23,0.618,0.930420712,47523.6,5.145088,-0.478598,23,0,-2.4356570101628206e-11,-3.411551704424758e-10,93.0420712,67.577514,52.88857007309739,0.4814756225174057,"(60.9,99.2]"
Lichen,35,150,19,2.188,0.596892139,21958.2,3.099856,-2.52383,23,0,-3.6278264861478095e-11,-5.081387724352653e-10,59.689213900000006,113.042837835,77.04552767916405,-0.6924947565701309,"(40.3,60.9]"
Lichen,35,150,20,3.458,0.740023135,18286.7,2.806136,-2.81755,23,0,-2.5625973297838055e-11,-3.589353201908283e-10,74.0023135,113.042837835,77.04552767916405,-0.5067201888417723,"(60.9,99.2]"
Lichen,35,150,22,2.531,0.819834058,17767.9,2.764632,-2.859054,23,0,-3.552744202583491e-11,-4.976222222232618e-10,81.9834058,113.042837835,77.04552767916405,-0.4031308885875749,"(60.9,99.2]"
Lichen,35,150,23,0.6,1.275,7447.2,1.938976,-3.68471,23,0,-1.9314603141205265e-10,-2.7053385181791977e-9,127.49999999999999,113.042837835,77.04552767916405,0.18764440455522682,"(99.2,226]"
Moss,5,25,1,1.51,1.456953642,7288.6,2.398588,-2.140636,22,0,-4.661275360672636e-11,-6.528908559433341e-10,145.6953642,63.472182345,44.76858797405757,1.836626652210844,"(109,434]"
Moss,5,25,2,3.6,0.255555556,10788.7,2.678596,-1.860628,22,0,-1.699401249102316e-11,-2.3803003475801406e-10,25.5555556,63.472182345,44.76858797405757,-0.8469471220975714,"[20.1,41.9]"
Moss,5,25,3,2.41,0.419087137,8094.5,2.46306,-2.076164,22,0,-2.8325885503211074e-11,-3.9675218047782656e-10,41.9087137,63.472182345,44.76858797405757,-0.4816651500711965,"[20.1,41.9]"
Moss,5,25,4,5.74,0.256097561,19447.5,3.3713,-1.167924,22,0,-6.690238069523683e-12,-9.370815756839737e-11,25.6097561,63.472182345,44.76858797405757,-0.8457364406252987,"[20.1,41.9]"
Moss,5,50,1,2.93,0.313993174,13864.6,2.924668,-1.614556,22,0,-1.8118589024311844e-11,-2.537816408868287e-10,31.399317399999997,72.28443975,59.20569176895129,-0.6905606729426143,"[20.1,41.9]"
Moss,5,50,2,4.48,0.274553571,9517.6,2.576908,-1.962316,22,0,-1.4402232334709194e-11,-2.0172774764257128e-10,27.4553571,72.28443975,59.20569176895129,-0.7571752193175001,"[20.1,41.9]"
Moss,5,50,3,3.95,0.35443038,9652.8,2.587724,-1.9515,22,0,-1.624464936398826e-11,-2.275339302465744e-10,35.443038,72.28443975,59.20569176895129,-0.6222611483668266,"[20.1,41.9]"
Moss,5,50,4,3.87,0.454780362,15645.1,3.067108,-1.472116,22,0,-1.2507483815909441e-11,-1.7518857356429878e-10,45.4780362,72.28443975,59.20569176895129,-0.4527673395762576,"(41.9,62.7]"
Moss,5,50,5,2.16,0.796296296,0,1.8155,-2.723724,22,0,-4.146180723040782e-11,-5.807430953341532e-10,79.6296296,72.28443975,59.20569176895129,0.12406222494054142,"(62.7,109]"
Moss,5,100,1,4.3,0.444186047,26199.9,3.911492,-0.627732,22,0,-4.800038208711554e-12,-6.723269517796014e-11,44.418604699999996,66.79451647,67.30343902311257,-0.33246312662144845,"(41.9,62.7]"
Moss,5,100,2,5.8,0.360344828,9648.6,2.587388,-1.951836,22,0,-1.1065071180633565e-11,-1.5498513250578016e-10,36.0344828,66.79451647,67.30343902311257,-0.45703509533051867,"[20.1,41.9]"
Moss,5,100,3,0.59,1.86440678,5834.2,2.282236,-2.256988,22,0,-1.2578131188175995e-10,-1.761781101134247e-9,186.440678,66.79451647,67.30343902311257,1.7777124507547448,"(109,434]"
Moss,5,100,4,4.45,0.411235955,22151.9,3.587652,-0.951572,22,0,-7.031055484732483e-12,-9.848188485800247e-11,41.1235955,66.79451647,67.30343902311257,-0.3814206427279948,"[20.1,41.9]"
Moss,5,100,5,3.57,0.394957983,8549.2,2.499436,-2.039788,22,0,-1.8786924847099595e-11,-2.631428202558699e-10,39.495798300000004,66.79451647,67.30343902311257,-0.40560658662071325,"[20.1,41.9]"
Moss,5,150,1,1.97,0.796954315,1107.6,1.904108,-2.635116,22,0,-4.398173864463738e-11,-6.160390186738424e-10,79.6954315,146.25343804,108.18579160149795,-0.6152194808091456,"(62.7,109]"
Moss,5,150,2,0.61,1.590163934,10937.1,2.690468,-1.848756,22,0,-9.965260204995693e-11,-1.3958041011331317e-9,159.0163934,146.25343804,108.18579160149795,0.11797256526080907,"(109,434]"
