niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Wood,2,15,150,4.845435,AB,2.70956625,2.1591825,-0.02331375,24.25
Wood,3,15,150,7.217619,AB,2.70956625,2.1591825,2.34887025,24.25
Wood,4,15,150,5.959959,AB,2.70956625,2.1591825,1.09121025,24.25
Wood,5,15,150,7.757754,AB,2.70956625,2.1591825,2.88900525,24.25
Wood,6,15,150,5.831349,AB,2.70956625,2.1591825,0.96260025,24.25
Wood,7,15,150,2.804505,AB,2.70956625,2.1591825,-2.06424375,24.25
Wood,8,15,150,2.559345,AB,2.70956625,2.1591825,-2.30940375,24.25
Wood,9,15,150,3.016599,AB,2.70956625,2.1591825,-1.85214975,24.25
Litter,1,15,25,3.247035,AB,2.88242925,2.1591825,-1.79457675,24
Litter,2,15,25,3.169815,AB,2.88242925,2.1591825,-1.87179675,24
Litter,3,15,25,3.422814,AB,2.88242925,2.1591825,-1.61879775,24
Litter,4,15,25,2.493933,AB,2.88242925,2.1591825,-2.54767875,24
Litter,5,15,25,2.543586,AB,2.88242925,2.1591825,-2.49802575,24
Litter,6,15,25,2.289552,AB,2.88242925,2.1591825,-2.75205975,24
Litter,7,15,25,2.838804,AB,2.88242925,2.1591825,-2.20280775,24
Litter,8,15,25,3.376437,AB,2.88242925,2.1591825,-1.66517475,24
Litter,9,15,25,2.73237,AB,2.88242925,2.1591825,-2.30924175,24
Litter,1,15,50,2.990175,AB,2.88242925,2.1591825,-2.05143675,24
Litter,2,15,50,3.074424,AB,2.88242925,2.1591825,-1.96718775,24
Litter,3,15,50,2.939082,AB,2.88242925,2.1591825,-2.10252975,24
Litter,4,15,50,3.345108,AB,2.88242925,2.1591825,-1.69650375,24
Litter,5,15,50,2.701005,AB,2.88242925,2.1591825,-2.34060675,24
Litter,6,15,50,2.88555,AB,2.88242925,2.1591825,-2.15606175,24
Litter,7,15,50,2.269194,AB,2.88242925,2.1591825,-2.77241775,24
Litter,8,15,50,2.870079,AB,2.88242925,2.1591825,-2.17153275,24
Litter,9,15,50,2.720733,AB,2.88242925,2.1591825,-2.32087875,24
Litter,1,15,100,3.934968,AB,2.88242925,2.1591825,-1.10664375,24
Litter,2,15,100,2.738904,AB,2.88242925,2.1591825,-2.30270775,24
Litter,3,15,100,3.461649,AB,2.88242925,2.1591825,-1.57996275,24
Litter,4,15,100,2.990436,AB,2.88242925,2.1591825,-2.05117575,24
Litter,5,15,100,2.461245,AB,2.88242925,2.1591825,-2.58036675,24
Litter,6,15,100,2.652423,AB,2.88242925,2.1591825,-2.38918875,24
Litter,7,15,100,2.910822,AB,2.88242925,2.1591825,-2.13078975,24
Litter,8,15,100,2.593518,AB,2.88242925,2.1591825,-2.44809375,24
Litter,9,15,100,4.438203,AB,2.88242925,2.1591825,-0.60340875,24
Litter,1,15,150,3.240582,AB,2.88242925,2.1591825,-1.80102975,24
Litter,2,15,150,3.103386,AB,2.88242925,2.1591825,-1.93822575,24
Litter,3,15,150,3.380316,AB,2.88242925,2.1591825,-1.66129575,24
Litter,4,15,150,4.108839,AB,2.88242925,2.1591825,-0.93277275,24
Litter,5,15,150,4.133643,AB,2.88242925,2.1591825,-0.90796875,24
Litter,6,15,150,2.415174,AB,2.88242925,2.1591825,-2.62643775,24
Litter,7,15,150,5.944902,AB,2.88242925,2.1591825,0.90329025,24
Litter,8,15,150,3.592464,AB,2.88242925,2.1591825,-1.44914775,24
Litter,9,15,150,4.610139,AB,2.88242925,2.1591825,-0.43147275,24
Soil,1,25,25,3.328932,A,2.918506,6.220324,-5.809898,24
Soil,2,25,25,2.857124,A,2.918506,6.220324,-6.281706,24
Soil,3,25,25,2.601916,A,2.918506,6.220324,-6.536914,24
Soil,4,25,25,2.980228,A,2.918506,6.220324,-6.158602,24
Soil,5,25,25,2.887412,A,2.918506,6.220324,-6.251418,24
Soil,6,25,25,3.133316,A,2.918506,6.220324,-6.005514,24
Soil,7,25,25,6.864444,A,2.918506,6.220324,-2.274386,24
Soil,8,25,25,2.834356,A,2.918506,6.220324,-6.304474,24
Soil,9,25,25,3.098436,A,2.918506,6.220324,-6.040394,24
Soil,1,25,50,2.302596,A,2.918506,6.220324,-6.836234,24
Soil,2,25,50,9.511852,A,2.918506,6.220324,0.373022,24
Soil,3,25,50,3.5019,A,2.918506,6.220324,-5.63693,24
Soil,4,25,50,2.326548,A,2.918506,6.220324,-6.812282,24
Soil,5,25,50,2.49042,A,2.918506,6.220324,-6.64841,24
Soil,6,25,50,4.507772,A,2.918506,6.220324,-4.631058,24
Soil,7,25,50,2.68954,A,2.918506,6.220324,-6.44929,24
Soil,8,25,50,3.332308,A,2.918506,6.220324,-5.806522,24
Soil,9,25,50,5.090524,A,2.918506,6.220324,-4.048306,24
Soil,1,25,100,4.42262,A,2.918506,6.220324,-4.71621,24
Soil,2,25,100,9.234756,A,2.918506,6.220324,0.095926,24
Soil,3,25,100,5.608212,A,2.918506,6.220324,-3.530618,24
Soil,4,25,100,2.97942,A,2.918506,6.220324,-6.15941,24
Soil,5,25,100,2.933204,A,2.918506,6.220324,-6.205626,24
Soil,6,25,100,2.400972,A,2.918506,6.220324,-6.737858,24
Soil,7,25,100,2.667412,A,2.918506,6.220324,-6.471418,24
Soil,8,25,100,3.222244,A,2.918506,6.220324,-5.916586,24
Soil,9,25,100,3.39334,A,2.918506,6.220324,-5.74549,24
Soil,1,25,10,3.202852,A,2.918506,6.220324,-5.935978,24
Soil,2,25,10,2.696092,A,2.918506,6.220324,-6.442738,24
Soil,3,25,10,4.018052,A,2.918506,6.220324,-5.120778,24
Soil,4,25,10,2.684772,A,2.918506,6.220324,-6.454058,24
Soil,5,25,10,3.401932,A,2.918506,6.220324,-5.736898,24
Soil,6,25,10,5.655588,A,2.918506,6.220324,-3.483242,24
Soil,7,25,10,3.2717,A,2.918506,6.220324,-5.86713,24
Soil,8,25,10,3.004484,A,2.918506,6.220324,-6.134346,24
Soil,9,25,10,2.751876,A,2.918506,6.220324,-6.386954,24
Litter,1,25,25,4.941724,A,3.594198,6.220324,-4.872798,24
Litter,2,25,25,4.64958,A,3.594198,6.220324,-5.164942,24
Litter,3,25,25,3.749564,A,3.594198,6.220324,-6.064958,24
Litter,4,25,25,3.717556,A,3.594198,6.220324,-6.096966,24
Litter,5,25,25,4.647396,A,3.594198,6.220324,-5.167126,24
Litter,6,25,25,3.751676,A,3.594198,6.220324,-6.062846,24
Litter,7,25,25,3.711164,A,3.594198,6.220324,-6.103358,24
Litter,8,25,25,3.86202,A,3.594198,6.220324,-5.952502,24
Litter,9,25,25,3.887156,A,3.594198,6.220324,-5.927366,24
Litter,1,25,50,4.962484,A,3.594198,6.220324,-4.852038,24
Litter,2,25,50,4.620924,A,3.594198,6.220324,-5.193598,24
Litter,3,25,50,5.298548,A,3.594198,6.220324,-4.515974,24
Litter,4,25,50,4.816156,A,3.594198,6.220324,-4.998366,24
